Update Overview - Last Update: 20.07.2017,kRO Sakray,kRO Main,iRO,thRO
Episode 0.0 - Beta (9 Month),----,01.11.2001,X,?
Episode 1.0 - Release,???,03.08.2002,?,?
Episode 2.0 - Lutie,???,17.12.2002,?,?
Episode 3.0 - Comodo,???,04.02.2003,?,?
Episode 4.0 - War of Emperium & Turtle Island,???,02.05.2003,?,?
"Episode 5.0 - Forgotten Legacy of Ancient Era, Yuno",???,15.07.2003,?,?
Episode 6.0 - Beyond Midgard,???,07.10.2003,?,?
Global Project - Amatsu (Japan),???,07.10.2003,?,?
Global Project - Kunlun (China: Mythical),???,07.10.2003,?,?
Global Project - Castle of Dragon: Louyang (China),???,07.10.2003,?,?
Global Project - Ayothaya (Thailand),???,26.10.2004,?,?
"Episode 7.0 - Village of Utan Tribe, Umbala",???,27.01.2004,?,?
"Episode 8.0 - City of the Dead, Nifflheim",???,23.02.2004,?,?
Episode 9.0 - Rebirth,???,19.04.2004,?,?
Honeymoon Jawaii,21.06.2004,29.06.2004,?,?
Divorce NPC in Niflheim,???,29.06.2004,?,?
"Episode 10.1 - City of Steel, Einbroch",???,25.03.2005,?,?
"Episode 10.2 - City of Prosperity, Lighthalzen",???,28.06.2005,?,?
Homunculus System,09.06.2005,28.06.2005,?,?
Episode 10.3 - Noghalt,???,27.09.2005,?,?
Classes - TaeKwon Kid,17.08.2005,27.09.2005,?,?
Classes - TaeKwon Master,17.08.2005,27.09.2005,?,?
Classes - Soul Linker,17.08.2005,27.09.2005,?,?
"Episode 10.4 - The Haven of Forgotten, Hugel",???,17.01.2006,?,?
Mailsystem,???,17.01.2006,?,?
Classes - Ninja,???,28.03.2006,?,?
Classes - Gunslinger,???,28.03.2006,?,?
"Episode 11.1 - Sacred Precinct of Goddess, Rachel",???,11.06.2006,?,?
"Episode 11.2 - A Hidden Gorge of Volcano Thor, Veins",???,27.12.2006,?,?
"Episode 11.3 - Endless Nightmare, Nameless Island",???,10.04.2007,?,?
"Episode 12.0 - Nightmare of Midgard, Satan Morroc",19.09.2007,17.10.2007,?,?
WoE SE - Schwaltzvald,19.09.2007,21.11.2007,?,?
Global Project - Moscovia (Russia),10.10.2007,17.10.2007,?,?
WoE SE - Arunafeltz,24.10.2007,21.11.2007,?,?
Battleground (Flavius & Tierra),07.11.2007,05.12.2007,?,?
World Map System,14.11.2007,05.12.2007,?,?
Memorial Dungeon - Endless Tower,28.11.2007,12.12.2007,?,?
Memorial Dungeon - Sealed Shrine,28.11.2007,12.12.2007,?,?
Episode 13.1 - Ash Vacuum,28.05.2008,25.06.2008,?,?
Poring Wars,18.06.2008,25.08.2008,?,?
Renewal Beta - Sakray R,30.07.2008,----,?,?
Improved Pet System,12.11.2008,19.11.2008,?,?
Episode 13.2 - Encounter with the Unknown,26.11.2008,17.12.2008,?,?
New Pets,23.12.2008,23.12.2008,some,?
Hidden Slot Enchant,25.02.2009,25.02.2009,?,?
Endless Tower Entrance Fix,11.03.2009,11.03.2009,?,?
New Hairstyles (F&M - 26127),08.04.2009,08.04.2009,?,?
New Interface (Renewal),01.06.2009,----,?,?
Renewal Release - Main Server,----,17.06.2009,?,?
Renewal Update (3-2 & Balance),17.06.2009 (?),14.10.2009 (?),?,?
Global Project - Brasilis (Brazil),05.08.2009,19.08.2009,?,?
Episode 13.3 - El Dicastes,09.12.2009,23.12.2009,?,?
Dungeon - Nightmare Scaraba Hall,,13.10.2010,?,?
Party Booking System,10.03.2010,17.10.2010,?,?
Baby 3rd Class Update,24.03.2010,31.03.2010,?,?
Sorcerer Spirit Skills,14.04.2010,12.05.2010,?,?
Purchase Shop System,28.04.2010,12.05.2010,?,?
Episode 14.1 - Bifrost,09.06.2010,30.06.2010,?,?
Costume System,30.06.2010,28.07.2010,some,?
Vend Search System,21.07.2010,18.08.2010,?,?
Global Project - Dewata (Indonesia),15.09.2010,29.09.2010,?,?
Homunculus S System,06.10.2010,31.08.2011,?,?
Malangdo,03.11.2010,24.11.2010,?,?
Eden Quests 86-99,03.11.2010,24.11.2010,?,?
Card Desocketing System,10.11.2010,20.04.2010,some,?
KRO F2P,----,24.11.2010,?,?
Dungeon - Byalan Island Dungeon (Undersea Tunnel) 6F,----,24.11.2010,?,?
New Mounts,----,24.11.2010,?,?
Gravestone System,24.11.2010,24.11.2010,?,?
Replay System,24.11.2010,09.03.2011,?,?
Super Novice Expand Class Update,22.12.2010,29.12.2010,?,?
"Archer Skeleton Card - only Bow (04.05.2011, removed)",26.01.2011,----,?,?
Dungeon - Somatology Laboratory (Bio Labs) 4F,16.03.2011,30.03.2011,?,?
Memorial Dungeon - Wolfchev's Laboratory,16.03.2011,30.03.2011,?,?
"WoE.1 Renewal (Abyss, New GD & Forts pR 5-4)",15.06.2011,28.06.2011,?,?
7x7 Area around NPC,09.08.2011,17.08.2011,?,?
Global Project - Port Malaya (Phillipines),31.08.2011,28.09.2011,?,?
Classes - Kagerou,19.10.2011,02.11.2011,?,?
Classes - Oboro,19.10.2011,02.11.2011,?,?
New Alberta City,08.11.2011,16.11.2011,?,?
Eden Quests 100-110,16.11.2011,30.11.2011,?,?
Dungeon - Nightmare Pyramid,30.11.2011,07.12.2011,?,?
Episode 14.2 - Eclage,30.11.2011,21.12.2011,?,?
Battle Ground Waiting System,14.12.2011,04.01.2012,?,?
Hunger bar for Homunculus and Pets,11.01.2012,18.01.2012,?,?
"4 New Carts Genetic.Mechanic (101,111,121 &131)",01.02.2012,08.02.2012,?,?
Navigation System,08.02.2012,28.03.2012,?,?
Eden Quests 111-120,15.02.2012,21.03.2012,?,?
New Novice Ground (Izlude),07.03.2012,28.03.2012,?,?
New Character Creation UI,07.03.2012,28.03.2012,?,?
New Skill Cooldown (Delay Icon),07.03.2012,28.03.2012,?,?
New Mini-Map,07.03.2012,28.03.2012,?,?
New Quest Window,07.03.2012,28.03.2012,?,?
Falcon Flute,14.03.2012,21.03.2012,?,?
HP Bar Monster,28.03.2012,04.04.2012,?,?
Thanatos Tower F2-F3 Restriction removed,28.03.2012,04.04.2012,(?),?
WoE Training Edition (For 2nd Class and Expansion Class Only),18.04.2012,25.04.2012,?,?
Monster Shadow Size,09.05.2012,13.06.2012,?,?
Memorial Dungeon - Old Glast Heim,16.05.2012,29.05.2012,?,?
3rd Class Job NPC Illustrations,20.06.2012,27.06.2012,?,?
Headgear Combining Quests (25 Quests),04.07.2012,11.07.2012,?,?
Memorial Dungeon - Wave Mode,25.07.2012,22.08.2012,?,?
Job Exp increased from Monster Iv! 100+,01.08.2012,14.08.2012,?,?
Eden Quests 121-130,01.08.2012,22.08.2012,?,?
Hero's Trail Part I:,,,?,?
Memorial Dungeon - Faceworm Nest,08.08.2012,22.08.2012,?,?
Memorial Dungeon - Sara's Memory,08.08.2012,22.08.2012,?,?
Max. Level 160/50,14.08.2012,22.08.2012,?,?
New Skilltimer,14.08.2012,22.08.2012,?,?
Champion Monster,30.08.2012,19.09.2012,?,?
Ranger Falcon Sprite -> Owl,10.10.2012,10.10.2012,?,?
Eden Quests 131-140,10.10.2012,31.10.2012,?,?
Hero's Trail Part II:,,,?,?
Memorial Dungeon - Devil's Tower,10.10.2012,17.10.2012,?,?
Memorial Dungeon - Ghost Palace,10.10.2012,17.10.2012,?,?
Memorial Dungeon - Geffen Magic Tournament,10.10.2012,17.10.2012,?,?
Memorial Dungeon - Horror Toy Factory,05.12.2012,18.12.2012,?,?
Shadow System,05.12.2012,18.12.2012,?,?
Episode 14.3 Part 1 - Decisive Battle,12.12.2012,28.12.2012,(?),?
Equipment Comparison System,16.01.2013,20.02.2013,?,?
Dungeon - Nightmare Clock Tower,27.02.2013,13.03.2013,?,?
Episode 14.3 Part 2 - Decisive Battle,06.03.2013,20.03.2013,?,?
Max. Level 175/60,06.03.2013,20.03.2013,?,?
New Third Class Skills,06.03.2013,20.03.2013,?,?
Bank System,08.05.2013,12.06.2013,?,?
Increased max vending price to 1 billion Zeny,15.05.2013,22.05.2013,?,?
Memorial Dungeon - Advanced Old Glast Heim (Nightmare Old Glast Heim),05.06.2013,26.06.2013,?,?
Episode 15.1 - Fantasmagorica,05.06.2013,03.07.2013,?,?
Classes - Rebellion,17.07.2013,31.07.2013,?,?
New Cloth - Dye Kagerou/Oboro,07.08.2013,14.08.2013,?,?
"Max HP-Limit (M 99 - 330k, 150 - 660k, 175 - 1,1m)",07.08.2013,21.08.2013,?,?
Hero's Trail Part III:,,,?,?
Memorial Dungeon - Sarah and Fenrir,11.09.2013,25.09.2013,?,?
Memorial Dungeon - Airship Raid,11.09.2013,25.09.2013,?,?
Dungeon - Somatology Laboratory (Nightmare Bio Labs) 5F,04.12.2013,18.12.2013,?,?
Guild Skill - Guild Storage Extension,04.12.2013,11.12.2013,?,?
Episode 15.2 - Memory Record,11.12.2013,23.12.2013,?,?
New World Map (with Jottunheim and Global Project),11.12.2013,08.01.2014,?,?
"Vending/Buy Shop History (on closing shop, shows log of sold/bought items",08.01.2014,22.01.2014,?,?
"(with seller/buyer name, time, and number of items)",,,,?
Eden Group Market Hall,26.02.2014,12.03.2014,?,?
Summons & Homu S Update,12.03.2014 (?),16.04.2014 (?),?,?
UI Update (seg. Status and new Logos for Shortcuts),14.05.2014,???,?,?
Pazudora Island (JRO - August 2014),???,???,?,?
Monster EXP increased (Base 75% &Job 100%),30.07.2014,06.08.2014,some,?
Monster HP.ATK.Spawn adjustment,30.07.2014,06.08.2014,some,?
Mini-Game - Roulette Lucky (01.04.2015 removed),03.09.2014,08.10.2014,?,?
Pet Evolution System,24.09.2014,08.10.2014,?,?
New Mailsystem - RODEX,08.10.2014,19.11.2014,?,?
Memorial Dungeon - Infinity Dungeon (Pharos Island Iv.100+),22.10.2014,29.10.2014,?,?
Achievement System,26.11.2014,25.02.2015,?,?
"Job Exp for 1"" and 211 Cls modified - need less EXP",24.12.2014,07.01.2015,?,?
Episode 16.1 - Banquet for Heroes,04.02.2015,25.02.2015,?,?
New Prontera City,04.02.2015,25.02.2015,?,?
Daily Quest initialization every day at 4am,04.02.2015,25.02.2015,?,?
"Chat,lnventory, Kafra can now be scrolled by P. up.down",04.03.2015,???,?,?
Renewed UI for Bank System,25.03.2015,08.04.2015,?,?
Modified Mini-map and possibility to add notes,25.03.2015,08.04.2016,?,?
Mechanic Skill [Pill Bunker] Change - 3 new Weapon,01.04.2015,08.04.2016,?,?
New Status Icons,20.05.2015,05.08.2016,?,?
Infinity Dungeon Renewed (Added Normal and Hard Mode and New armor),24.06.2015,01.07.2015,?,?
Jonda Service improved,---,12.08.2016,?,?
Item Link System (show others your Items via chat.pm),19.08.2015,23.09.2015,?,?
"Eden Group renewed (e.g below 100, missions changed)",09.09.2015,07.10.2015,?,?
Reputation System,23.09.2015,14.10.2015,?,?
New playable race 'Doram'- Cat Hand Group race,01.10.2015,28.10.2016,?,?
New Job for Doram - Summoner,01.10.2015,28.10.2016,?,?
"New Continent (Far-Star), Town (Lasagna) & Dungeon",01.10.2015,28.10.2015,?,?
New Character Creation UI - with Gender and Race,01.10.2015,28.10.2015,?,?
Memorial Dungeon - Half Moon In The Daylight,21.10.2015,11.11.2015,?,?
New Prontera City Xmas decoration,---,09.12.2015,?,?
Styling Interface System,13.01.2016,27.01.2016,?,?
Episode 16.2 - Terra Gloria,24.02.2016,09.03.2016,?,?
"UI Update (On.Off Member, Minimap, etc)",30.03.2016,30.03.2016,?,?
New Weapon for Gunslinger Class (Military Base Memorial Dungeon),18.05.2016,???,?,?
Sakray Server renewal,01.06.2016,---,?,?
5 new Pets for Pet Evolution,15.06.2016,29.06.2016,?,?
New Skills for Lv.100+ Summoner,???,29.06.2016,?,?
"New ""Boss Mark"" icon (before monster name)",06.07.2016,20.07.2016,?,?
Eden Group 100-140 overhaul + new Equipment,17.08.2016,24.08.2016,?,?
World Map improved (added new maps),31.08.2016,???,?,?
3 new Pets for Pet Evolution,21.09.2016,28.09.2016,?,?
Refine UI Update,09.11.2016,30.11.2016,?,?
Global Project - Rock Ridge (North America),16.11.2016,09.12.2016,?,?
Prontera back to classic look (Fixing),30.11.2016,---,?,?
Doram x Human Wedding.Adoption,07.12.2016,14.12.2016,?,?
Dungeon - Illusion of Moonlight (Payon Dungeon),07.12.2016,28.12.2016,?,?
Memorial Dungeon - Beginner Mode Old Glast Heim,07.12.2016,04.01.2017,?,?
Memorial Dungeon - Beginner Mode Horror Toy Factory,14.12.2016,04.01.2017,?,?
Monster Race in Hugel Renewed,11.01.2017,18.01.2017,?,?
Dungeon - Illusion of Vampire (Geffen Dungeon),11.01.2017,25.01.2017,?,?
4 New Pets for Pet Evolution,01.02.2017,08.02.2017,?,?
Equipment Replacing System,08.02.2017,???,?,?
Dungeon - Illusion of Frozen (Ice Cave),15.02.2017,22.02.2017,?,?
Dungeon - Illusion of Abyss (Turtle Island),05.04.2017,20.04.2017,?,?
Autotrade System (Offline Vending),20.04.2016,14.06.2017,?,?
Party Window Overhaul,02.05.2017,24.05.2017,?,?
New Cards for Terra Gloria,05.07.2017,19.07.2017,?,?
Memorial Dungeon - Dreams and Shadows (rework of Nightmarish Jitterbug),,30.08.2017,?,?
"Dungeon - Illusion of Teddy Bear (Mine Dungeon, Einbroch)",21.02.2018,07.03.2018,?,?
Memorial Dungeon - Royal Shoes Heel (rework of Charleston Crisis),,21.03.2018,?,?
"Dungeon - Illusion of Luanda (Karu, the West cave of Comodo)",,18.04.2018,?,?
Class improvement - Geneticist,20.09.2017,25.10.2017,?,?
Class improvement - Arch Bishop,02.05.2018,16.05.2018,?,?
Classes - Soul Reaper (Soul Linker 3rd Class Expansion),--- 2017 ---,20.06.2018,?,?
Classes - Star Emperor (TaeKwon Master 3rd Class Expansion),--- 2017 ---,20.06.2018,?,?
Episode 17.1 - Illusion,04.07.2018,18.07.2018,?,?
Max. Level 185/65,18.07.2018,01.08.2018,?,?
Dungeon - Magma Dungeon (Nogg Road) 3F,18.07.2018,01.08.2018,?,?
Dungeon - Glast Heim Abyss 1F,18.07.2018,01.08.2018,?,?
MVP monsters get green aura buffs (reduce all damage taken by 90%),18.07.2018,01.08.2018,?,?
Class improvement - 3rd Classes,18.07.2018,01.08.2018,?,?
Memorial Dungeon - EDDA Fall of Glast Heim,29.08.2018,12.09.2018,?,?
Base experience required to level up from 1-99 is reduced,29.08.2018,12.09.2018,?,?
Dungeon - Illusion of Labyrinth (Labyrinth Forest),31.10.2018,07.11.2018,?,?
More skills will be usable while wearing Mado Gear,31.10.2018,07.11.2018,?,?
Class improvement - 1st and 2nd Classes,31.10.2018,28.11.2018,?,?
Memorial Dungeon - EDDA Somatology Laboratory - Expeditionary Journey,05.12.2018,12.12.2018,?,?
Job experience required to level up for 2nd Classes is reduced,05.12.2018,12.12.2018,?,?
Pet intimacy bar,05.12.2018,12.12.2018,?,?
Homunculus System Overhaul,,,?,?
WoE's Overhaul,,,?,?
Party Booking Overhaul,,,?,?
Battleground Overhaul,,,?,?
Addition of 3 new Guild skills,23.01.2019,13.02.2019,?,?
Guild skills improvement,23.01.2019,13.02.2019,?,?
Max. Level 185/65 (Expanded Classes and Super Novice),13.02.2019,27.02.2019,?,?
Max. Level 185/55 (Doram),13.02.2019,27.02.2019,?,?
Class improvement - Star Emperor,13.02.2019,27.02.2019,?,?
Class improvement - Soul Reaper,13.02.2019,27.02.2019,?,?
Class improvement - Kagerou and Oboro,13.02.2019,27.02.2019,?,?
Class improvement - Rebel,13.02.2019,27.02.2019,?,?
Class improvement - Super Novice,13.02.2019,27.02.2019,?,?
Macro for Rolling Cutter,09.01.2019,06.03.2019,?,?
Class improvement - Ninja,27.02.2019,06.03.2019,?,?
Removal of Wave Mode Memorial Dungeon,,27.03.2019,?,?
Class improvement - Sura,03.04.2019,17.04.2019,?,?
Class improvement - Maestro and Wanderer,03.04.2019,17.04.2019,?,?
"Removal of damage display limit (previously 999,999)",17.04.2019,08.05.2019,?,?
3rd Classes skill effects update,17.04.2019,22.05.2019,?,?
Memorial Dungeon - Challenge Mode Nightmare Old Glast Heim,08.05.2019,22.05.2019,?,?
New feature for RODEX,08.05.2019,22.05.2019,?,?
Map name will be shown upon entering a new zone,05.06.2019,19.06.2019,?,?
Animated Guild emblem,05.06.2019,19.06.2019,?,?
Class improvement - Warlock,03.07.2019,17.07.2019,?,?
Max. Level 200/70,24.07.2019,07.08.2019,?,?
Dungeon - Einbech Mine Dungeon 3F,24.07.2019,07.08.2019,?,?
Dungeon - Old Odin Temple,24.07.2019,07.08.2019,?,?
Dungeon - Abyss Lake 4F,24.07.2019,07.08.2019,?,?
Episode 17.2 - Sage's Legacy,02.10.2019,30.10.2019,?,?
Increase maximum damage display to 99999M,20.11.2019,4.12.2019,?,?
Class improvement - Geneticist,20.11.2019,04.12.2019,?,?
Class improvement - Maestro and Wanderer,20.11.2019,4.12.2019,?,?
Removal of Cultivate Plant skill,,11.12.2019,?,?
Removal of Guild Dungeon Investment System,04.12.2019,18.12.2019,?,?
Memorial Dungeon - Thanatos Tower,04.12.2019,18.12.2019,?,?
"Dungeon - Illusion of Under Water (Undersea Tunnel, Byalan Island)",08.01.2020,22.01.2020,?,?
"Maximum damage display limit is increased up to 99,999M (99,999,999,999)",-,14.04.2020,?,?
Even Share experience for families now have a 15 levels difference limit,-,20.05.2020,?,?
